draw,S,mae_or_nonnull,beta_NH-Black,se_NH-Black,OR_NH-Black,covered_NH-Black,flag_NH-Black,p_NH-Black,beta_NH-Asian,se_NH-Asian,OR_NH-Asian,covered_NH-Asian,flag_NH-Asian,p_NH-Asian,beta_NH-AmInd-AKNat,se_NH-AmInd-AKNat,OR_NH-AmInd-AKNat,covered_NH-AmInd-AKNat,flag_NH-AmInd-AKNat,p_NH-AmInd-AKNat,beta_Hispanic,se_Hispanic,OR_Hispanic,covered_Hispanic,flag_Hispanic,p_Hispanic,beta_NH-Other-Multi,se_NH-Other-Multi,OR_NH-Other-Multi,covered_NH-Other-Multi,flag_NH-Other-Multi,p_NH-Other-Multi
0,3,0.0351012433730384,-0.5061895986373639,0.05990983533058928,0.6027880728715164,True,True,2.933300525859774e-17,-0.2688638318071419,0.0326679156885019,0.7642473147390136,False,True,1.868843057499716e-16,0.048792733398624374,0.1863798035610214,1.0500026976941175,True,False,0.7934818407622997,-0.36565728501647266,0.029450783734655265,0.6937405157426879,False,True,2.1432747001748466e-35,0.13596865853620924,0.06809391542181852,1.1456459868099664,False,False,0.04584894332282857
1,3,0.026847436027873428,-0.4213900022073752,0.05990983533058928,0.6561341577332658,True,True,2.010745343359421e-12,-0.20766327257705347,0.0326679156885019,0.8124805751456714,True,True,2.0600541019916505e-10,-0.2146071762075801,0.1863798035610214,0.8068583310816696,True,False,0.24954681994735073,-0.2672171118507969,0.029450783734655265,0.7655068528123954,True,True,1.1541847350960139e-19,0.0004111466740580426,0.06809391542181852,1.0004112312064366,True,False,0.9951824537011625
2,3,0.025343798480073215,-0.6077943837045348,0.05990983533058928,0.5445506152089266,True,True,3.482360010439026e-24,-0.1920162939432573,0.0326679156885019,0.8252934210979531,True,True,4.156918430535377e-09,-0.08693169975727326,0.1863798035610214,0.9167397070394488,True,False,0.6409132405302369,-0.28994208622909395,0.029450783734655265,0.7483069035982594,True,True,7.206062810638714e-23,-0.02043062692688673,0.06809391542181852,0.979776664235087,True,False,0.7641496855489875
3,3,0.013483230213903186,-0.5419444631988027,0.05990983533058928,0.5816162207966312,True,True,1.4829935829240915e-19,-0.2092544000771731,0.0326679156885019,0.8111888428871256,True,True,1.498753966589462e-10,0.06939019543960237,0.1863798035610214,1.0718543602460011,True,False,0.7096655259781632,-0.31084851539767666,0.029450783734655265,0.7328248791468668,True,True,4.824250548198268e-26,0.06092016986332598,0.06809391542181852,1.062814066208363,True,False,0.3709746196359157
4,3,0.0181598722471276,-0.48187654782145517,0.05990983533058928,0.6176233040008471,True,True,8.740597530237366e-16,-0.24705014446690393,0.0326679156885019,0.7811015246297824,True,True,3.9548522527543284e-14,0.2898531796694822,0.1863798035610214,1.3362312877034177,True,False,0.11990443666280118,-0.3078025019613575,0.029450783734655265,0.7350604766767481,True,True,1.4434799967083183e-25,-0.016065160978578377,0.06809391542181852,0.9840631954452984,True,False,0.8134896835930752
5,3,0.022768556893862996,-0.46839297755175663,0.05990983533058928,0.6260074684313068,True,True,5.3542092863573314e-15,-0.15974390914552666,0.0326679156885019,0.8523620431425183,True,True,1.0087045900905227e-06,-0.1869949602401358,0.1863798035610214,0.8294479165931898,True,False,0.3157158687299516,-0.27969301336457697,0.029450783734655265,0.756015792580097,True,True,2.161000916727169e-21,0.02774591558876379,0.06809391542181852,1.0281344183026606,True,False,0.6836661896603142
6,3,0.019160777937699696,-0.4584784145680558,0.05990983533058928,0.6322449286571072,True,True,1.9663874299388256e-14,-0.233040110235662,0.0326679156885019,0.7921218006950115,True,True,9.777140631517272e-13,-0.03783171276908406,0.1863798035610214,0.962874966819254,True,False,0.8391492376342509,-0.3069884357606599,0.029450783734655265,0.735659108196063,True,True,1.931255551853425e-25,-0.00037894181324512986,0.06809391542181852,0.9996211299761355,True,False,0.995559805016766
7,3,0.02138019406197415,-0.5636848573700882,0.05990983533058928,0.569108113149121,True,True,5.0141922033186165e-21,-0.1809915827497547,0.0326679156885019,0.8344423823765772,True,True,3.018731954154042e-08,-0.07759579667487448,0.1863798035610214,0.9253383758110484,True,False,0.6771673925974249,-0.3149685666236978,0.029450783734655265,0.7298118143579032,True,True,1.0771772213293977e-26,0.048115624481698135,0.06809391542181852,1.0492919721511678,True,False,0.4798108546121571
8,3,0.03702672280833504,-0.5933482121882506,0.05990983533058928,0.5524743830484832,True,True,3.9987069010978e-23,-0.24237818110703108,0.0326679156885019,0.7847593402701851,True,True,1.176018696248997e-13,-0.3539125427895413,0.1863798035610214,0.7019363540664458,True,False,0.05758049444021218,-0.3316120281717849,0.029450783734655265,0.7177657417286597,True,True,2.0706139644788692e-29,-0.07128126634802202,0.06809391542181852,0.931199940083746,True,False,0.295188065872097
9,3,0.010995085794746765,-0.4701762234649937,0.05990983533058928,0.6248921379214171,True,True,4.225085132038053e-15,-0.21505463162675034,0.0326679156885019,0.8064973787099942,True,True,4.6088368735678295e-11,0.14317436983429999,0.1863798035610214,1.1539309948808578,True,False,0.44237664491699313,-0.30323192603409116,0.029450783734655265,0.7384278158742489,True,True,7.328004257013447e-25,-0.06214795556140226,0.06809391542181852,0.9397438361778309,True,False,0.36141085918217486
