method,N,clusters,A_good_mean_S,A_good_fail_rate,A_noQ_mean_S,A_noQ_fail_rate,nonnull_coverage,MAE_OR_mean,MAE_OR_q025,MAE_OR_q975
asymptotic,50000,265,0.06,0.06,4.96,1.0,0.94,0.023041587433651988,0.00606380862533487,0.0425255573519459
exact,50000,265,0.04,0.03,5.0,1.0,0.9633333333333334,0.021859626493037,0.007028881483672262,0.046197490075109524
