draw,pipeline,S,flag_NH-Black,p_NH-Black,flag_NH-Asian,p_NH-Asian,flag_NH-AmInd-AKNat,p_NH-AmInd-AKNat,flag_Hispanic,p_Hispanic,flag_NH-Other-Multi,p_NH-Other-Multi
0,A_good,1,False,0.9144650196477893,True,0.0068269358094528755,False,0.5564056260596446,False,0.1508787253904906,False,0.08434971533048101
0,A_noQ,5,True,1.8929918629262718e-18,True,5.325911194544434e-11,True,3.699529177061832e-06,True,1.0557499466239995e-292,True,6.224899529265488e-29
1,A_good,0,False,0.32542985081640874,False,0.25312421572795807,False,0.4830052771418508,False,0.823314584928877,False,0.8687724297898944
1,A_noQ,5,True,3.203242951978737e-19,True,1.661281159290307e-05,True,4.719579559115679e-05,True,4.265458825573519e-270,True,7.151032157733417e-18
2,A_good,0,False,0.4252663463697184,False,0.5189864379845079,False,0.5997769972673156,False,0.0786073676440576,False,0.9329322357003689
2,A_noQ,5,True,3.054071848245107e-16,True,3.147005088635003e-07,True,0.008853053197082787,True,4.2042064121116206e-252,True,2.72333155032645e-22
3,A_good,0,False,0.7223740879739567,False,0.549761781392772,False,0.3842802514185921,False,0.7151601824592746,False,0.04647333834647631
3,A_noQ,5,True,1.4547969975151115e-18,True,9.393381415186043e-08,True,5.015831177414932e-07,True,3.3217079797553485e-262,True,2.2957933651101673e-29
4,A_good,0,False,0.3547533700213703,False,0.09981574208862437,False,0.47556950505580176,False,0.9908999093152983,False,0.7687180293138882
4,A_noQ,5,True,5.3809363030639926e-20,True,1.3154156555365839e-10,True,7.571944136400724e-05,True,3.101427031943874e-286,True,1.954529998856579e-20
5,A_good,0,False,0.7699359127184175,False,0.7046799633883087,False,0.34205816178295134,False,0.4800230290736859,False,0.19762579323395713
5,A_noQ,5,True,3.949736341319499e-25,True,1.0155024502825957e-07,True,0.0004227086334113136,True,1.4205054476597088e-261,True,9.546204521476942e-16
6,A_good,0,False,0.3874848780253366,False,0.4152268900301813,False,0.1529544606903227,False,0.5337086479577288,False,0.34108761405163734
6,A_noQ,5,True,4.978688689752104e-16,True,1.0318992281636942e-06,True,3.324179811153254e-08,True,1.6871844953965506e-264,True,3.540367703010811e-23
7,A_good,0,False,0.6822259446605616,False,0.8927701612895959,False,0.45838541171591685,False,0.034936967767135535,False,0.8189563043999005
7,A_noQ,5,True,5.600002810020155e-20,True,1.8579081724934993e-07,True,9.952706412365201e-05,True,3.677939308102908e-263,True,3.387830165023066e-18
8,A_good,0,False,0.1709934472713066,False,0.8241822377791743,False,0.1485513716982708,False,0.47761247252165473,False,0.6284228959787769
8,A_noQ,5,True,5.188683400099713e-18,True,1.6738371811401836e-06,True,0.03438276178661769,True,5.972648114994219e-262,True,5.3777196078050357e-17
9,A_good,0,False,0.26119067278378405,False,0.8489329634221202,False,0.10145826451835827,False,0.7781923416896681,False,0.8817924718489386
9,A_noQ,5,True,6.67843340756177e-24,True,2.754990052964246e-07,True,8.407864553735398e-07,True,1.1879958682971315e-298,True,1.4257821484170567e-18
10,A_good,0,False,0.114271571042183,False,0.5953340877487395,False,0.727338298383368,False,0.8372710229794349,False,0.6935490519012426
10,A_noQ,5,True,1.6369176615992742e-19,True,2.2400907190847674e-07,True,0.0007518828153277939,True,5.541079500645771e-283,True,7.857371739122485e-20
11,A_good,0,False,0.8836412446866543,False,0.558109843126789,False,0.25077323517218886,False,0.7277528204497831,False,0.9412458800399829
11,A_noQ,5,True,4.417790992589151e-22,True,1.3266533334641985e-07,True,0.005256029994329712,True,1.6433313936627968e-265,True,8.427460088887523e-20
12,A_good,0,False,0.5494117087955687,False,0.26249761012745376,False,0.14129518583240236,False,0.43153110716373433,False,0.9905164811195395
12,A_noQ,5,True,7.275760928711427e-18,True,1.5540027073578504e-05,True,0.018057651389935134,True,2.4830204699164263e-263,True,2.936395559853911e-20
13,A_good,0,False,0.013502216969407666,False,0.609851359020559,False,0.9428754262001373,False,0.13848379018674026,False,0.2006432445158418
13,A_noQ,5,True,4.074116185450718e-28,True,2.0004727617553853e-09,True,0.0011166780357271284,True,6.598585036123841e-292,True,3.4398350082631997e-22
14,A_good,0,False,0.6075273208276645,False,0.23239080814358637,False,0.4335638011625744,False,0.6517177183112346,False,0.2948757718184284
14,A_noQ,5,True,6.021997081933699e-25,True,2.3103971282260605e-06,True,0.0003793360435973483,True,4.3237359264048245e-280,True,5.29714019587463e-22
15,A_good,0,False,0.7631680224605277,False,0.7869824652257309,False,0.08962750268243112,False,0.5251199954954633,False,0.050001235515066814
15,A_noQ,5,True,6.975693128432391e-18,True,7.565263924912217e-07,True,0.009190865831662696,True,1.6046349398853896e-244,True,5.1641506267113115e-15
16,A_good,0,False,0.241423821735832,False,0.8242406842243961,False,0.11192052004843843,False,0.872485858764186,False,0.8184064297305242
16,A_noQ,5,True,2.09846481576506e-18,True,5.885166376008478e-08,True,2.457319512052835e-06,True,2.0110773304845366e-262,True,8.361107752225097e-19
17,A_good,0,False,0.7349799362349927,False,0.8105334722715464,False,0.5819971887679471,False,0.7557388550938648,False,0.8646140400418627
17,A_noQ,5,True,1.6274647368472918e-22,True,1.5220797206278287e-08,True,0.0006252061979774907,True,1.2015635638067886e-248,True,3.7371699075119467e-22
18,A_good,0,False,0.42874055705515235,False,0.7977530399963814,False,0.5657027899414047,False,0.538372895775153,False,0.8355003890787805
18,A_noQ,5,True,4.871783193437178e-22,True,8.128434154719857e-07,True,1.4089256043904117e-05,True,1.234398019372609e-283,True,8.798610922702045e-21
19,A_good,0,False,0.17791998071510196,False,0.5725622129917958,False,0.19027003599492365,False,0.828924226897916,False,0.4424247129523725
19,A_noQ,5,True,3.1726848982285666e-29,True,6.337170825944421e-07,True,0.0002797596909680096,True,2.8989385194562635e-269,True,7.885291740380325e-19
20,A_good,0,False,0.17866235235031125,False,0.36429858728205133,False,0.34318802802249515,False,0.7672947884590334,False,0.9002738864287317
20,A_noQ,5,True,2.112607066140718e-17,True,4.242401678778767e-09,True,0.004752835536908925,True,4.583217317480135e-261,True,3.2502060679092104e-18
21,A_good,0,False,0.7643794203020259,False,0.5612117962798425,False,0.25594629831877447,False,0.4301657704191377,False,0.293115559187762
21,A_noQ,5,True,5.224536865628277e-20,True,1.3597120722848335e-08,True,0.005094030931312092,True,2.195903448640184e-266,True,2.0397662025654044e-22
22,A_good,0,False,0.1978671801817301,False,0.36985117039549154,False,0.09385287275609927,False,0.7329994876814981,False,0.7114285824781909
22,A_noQ,5,True,2.4784367526435836e-16,True,4.712450117133317e-10,True,1.0022760856928243e-06,True,1.2327390392915533e-243,True,2.8303930860338466e-18
23,A_good,0,False,0.6146973972844911,False,0.3231985265261146,False,0.3512899071727149,False,0.9267133677263046,False,0.8650192156313818
23,A_noQ,5,True,1.1810907148273894e-23,True,5.598678652309507e-07,True,0.00012870931878393059,True,0.0,True,8.14861701469497e-19
24,A_good,0,False,0.6234813346798032,False,0.8177791012231321,False,0.49334853128792144,False,0.5807680790608295,False,0.44012185068623955
24,A_noQ,5,True,1.9908011991080694e-20,True,2.693773195871762e-07,True,6.659343622781409e-05,True,2.098120124802241e-297,True,2.594004010794911e-21
25,A_good,0,False,0.9812135783101545,False,0.026547611442826625,False,0.38634526202240205,False,0.10742840600740171,False,0.16117016060662137
25,A_noQ,5,True,2.6828942408845397e-20,True,6.583210356523157e-05,True,3.5952006831231924e-06,True,7.093916214194642e-230,True,1.5347614664995804e-22
26,A_good,0,False,0.48385993659303306,False,0.24491233819549263,False,0.04513418546517771,False,0.9065846263464193,False,0.7755025972798999
26,A_noQ,5,True,1.8202768393203364e-18,True,1.1156610496006845e-08,True,1.9485118935047813e-08,True,3.129130949877786e-266,True,1.0176885397881768e-17
27,A_good,0,False,0.2874055511873328,False,0.8802177219385737,False,0.13410213323750333,False,0.5143266282380092,False,0.08414117559946735
27,A_noQ,5,True,4.577232625457656e-29,True,2.88142635832929e-07,True,3.7521665622650057e-07,True,3.623210533492341e-287,True,9.163521573208046e-23
28,A_good,0,False,0.1657552523189788,False,0.7120925501794595,False,0.8566567953421785,False,0.3809452697335437,False,0.08981901960351832
28,A_noQ,5,True,9.092782470948383e-30,True,5.578159548943089e-07,True,9.064966432068968e-06,True,7.699600233352512e-288,True,1.602801215935067e-13
29,A_good,0,False,0.6913094378378852,False,0.49940394929798904,False,0.018444466415699117,False,0.49219341518812176,False,0.7279569016739325
29,A_noQ,5,True,2.826717057702495e-27,True,1.2148993506239005e-06,True,9.263657269913456e-08,True,7.5365106158374e-310,True,7.290525107726621e-22
30,A_good,0,False,0.7850096333284706,False,0.3604518201176491,False,0.5528209590301487,False,0.9668873610464827,False,0.48665449394460636
30,A_noQ,5,True,1.7181349820926127e-22,True,4.776980080228903e-06,True,0.004498632599710123,True,1.166944739437269e-246,True,2.094830711991813e-16
31,A_good,0,False,0.8107264757535725,False,0.9203066244680489,False,0.04044518947163773,False,0.3826972685904533,False,0.5096742856058671
31,A_noQ,5,True,4.778264872634339e-18,True,1.874601106583003e-08,True,1.4003215835588236e-07,True,3.521964037682519e-266,True,2.347691198770018e-20
32,A_good,0,False,0.7021664045067125,False,0.8922756151394265,False,0.06763671098554654,False,0.6687082269044995,False,0.8373829800870451
32,A_noQ,5,True,2.635528690016678e-16,True,1.306053727782765e-07,True,0.03257782460090058,True,6.22132228205318e-281,True,1.6147555537115047e-17
33,A_good,0,False,0.5552563099978751,False,0.15912632657527892,False,0.3812848665234111,False,0.7067047702842922,False,0.4966613904028312
33,A_noQ,5,True,3.53757343347544e-24,True,5.385656461716765e-06,True,7.447272794858137e-05,True,2.4816021297811595e-275,True,1.6265867777292892e-16
34,A_good,2,False,0.26270191768270035,True,0.01061619529709405,False,0.3363201733527177,True,0.0032827049332073937,False,0.8576774976672084
34,A_noQ,5,True,1.3932287685161305e-17,True,6.453855462378227e-05,True,0.001147411565498763,True,6.541779946541232e-233,True,1.196847925867824e-22
35,A_good,0,False,0.832655012985126,False,0.03613116108492476,False,0.8568055503507608,False,0.4268949000835074,False,0.33927114823243554
35,A_noQ,5,True,3.305935797215244e-24,True,3.9149463253480894e-12,True,1.001740123248498e-05,True,8.982036315222047e-288,True,7.847889158156369e-16
36,A_good,0,False,0.5454357177606448,False,0.8680810539362412,False,0.8397775127533642,False,0.7823511511646651,False,0.21352311723781836
36,A_noQ,5,True,4.3976823814351366e-23,True,4.619944427191931e-07,True,0.00057584331567426,True,3.4343230776134046e-282,True,2.9422868084263553e-24
37,A_good,0,False,0.1659570157143968,False,0.30955049449767746,False,0.07607731418028128,False,0.1692525428235394,False,0.5891624508165617
37,A_noQ,5,True,9.254770003594321e-26,True,6.1920744755441494e-06,True,4.418547805948419e-08,True,2.65560567829692e-274,True,1.7432900934652563e-15
38,A_good,0,False,0.6806252071749693,False,0.8348297415709588,False,0.9225739569154896,False,0.902006637208453,False,0.07796189019646811
38,A_noQ,5,True,9.849712195105374e-23,True,2.971640296703061e-07,True,0.0017793856893955956,True,3.788527542513118e-295,True,9.473771005258326e-22
39,A_good,0,False,0.4533858692033086,False,0.8661561400887495,False,0.24444234503082174,False,0.891016806173848,False,0.09081869806720695
39,A_noQ,5,True,2.161144754091013e-22,True,8.525124668651399e-08,True,0.002050843162656315,True,3.45089164059411e-280,True,2.5600492109839826e-16
40,A_good,0,False,0.18777509867739095,False,0.047639066103607366,False,0.910175108915678,False,0.5858833545839022,False,0.7625559757612101
40,A_noQ,5,True,1.810067308676592e-27,True,1.8105331051686127e-11,True,5.002124817134258e-05,True,1.3569061985607595e-250,True,3.997024676188374e-18
41,A_good,0,False,0.24762007315305146,False,0.5245245207760423,False,0.16303956127915475,False,0.025698097365422008,False,0.3015339938628697
41,A_noQ,5,True,1.0679151827931136e-22,True,2.6209217639392733e-07,True,3.403985869502067e-06,True,1.090169681423651e-286,True,4.709844872429218e-22
42,A_good,0,False,0.5335670659457856,False,0.20793947245590783,False,0.39869084458531323,False,0.5670144513631187,False,0.43259027156120267
42,A_noQ,5,True,6.303112131231646e-19,True,1.2872803001603062e-05,True,9.04387526377449e-08,True,1.5671073029521164e-236,True,1.3886678176968573e-24
43,A_good,0,False,0.7295049081146827,False,0.6890706731947238,False,0.054124897311741894,False,0.9462175924491038,False,0.48308370321020533
43,A_noQ,5,True,3.7236326119168135e-23,True,3.888235650958155e-08,True,7.021059535288099e-08,True,1.0430701964299511e-273,True,2.4461900918290264e-17
44,A_good,0,False,0.6083475493608903,False,0.25079550021491004,False,0.5711242216076741,False,0.10892688100426068,False,0.6882988639428933
44,A_noQ,5,True,1.930131982159189e-19,True,9.429753024772248e-07,True,0.0008023087623590406,True,1.0709252022860825e-267,True,4.2811390461155767e-19
45,A_good,0,False,0.20010678342577992,False,0.02207881006047064,False,0.292656893626004,False,0.44684803091281,False,0.8653175508455715
45,A_noQ,5,True,7.77742260715923e-16,True,3.330472188630567e-05,True,0.00014255373211189554,True,2.595946224847931e-237,True,1.2047138376158996e-20
46,A_good,0,False,0.9121866676532095,False,0.31174746333231274,False,0.8250062738427288,False,0.14594479376430405,False,0.07140433677272234
46,A_noQ,5,True,5.938818697888696e-23,True,5.091899817634784e-06,True,0.001857293786012309,True,5.110430570133628e-277,True,2.4119123772126183e-16
47,A_good,0,False,0.7289490335905888,False,0.8580652273948071,False,0.7422144664968424,False,0.015565390621919986,False,0.17881043050282974
47,A_noQ,5,True,4.574213605872309e-25,True,3.322971841297248e-07,True,6.0978377641114375e-05,True,3.1042496060399613e-285,True,7.651994134652309e-25
48,A_good,0,False,0.10245706402758475,False,0.12449902675765517,False,0.2972749978488677,False,0.5406017209374656,False,0.834110401809371
48,A_noQ,5,True,5.164455867673879e-15,True,2.2455965659387293e-09,True,2.2262598694857854e-06,True,6.698817996025389e-288,True,2.341773621309107e-16
49,A_good,0,False,0.637390532334608,False,0.33927417690818695,False,0.18117883105980193,False,0.31822269214640786,False,0.2338141561829632
49,A_noQ,5,True,9.742052648559831e-20,True,1.0693510466980307e-05,True,4.736610514804578e-05,True,4.502575528067012e-276,True,7.700594834422081e-15
50,A_good,0,False,0.08367016177614053,False,0.45608116759891304,False,0.037678683948961816,False,0.8757502398247028,False,0.5142811834250761
50,A_noQ,5,True,7.791585265373042e-25,True,1.639845343312815e-05,True,0.011018582697825501,True,1.2487683362402546e-302,True,8.172040467653644e-21
51,A_good,0,False,0.6077547744131748,False,0.5567469124406985,False,0.3658035245950747,False,0.7886671473371006,False,0.01555500960481515
51,A_noQ,5,True,8.486686756629022e-22,True,3.539411735622272e-08,True,0.0031129363620652304,True,1.1149168920410649e-271,True,2.0964398488185937e-28
52,A_good,0,False,0.7622844348292885,False,0.6187556491933726,False,0.48959026702796826,False,0.6558143024324641,False,0.6382326302038035
52,A_noQ,5,True,5.517606660183952e-21,True,4.840453123073421e-09,True,6.682454439784933e-06,True,6.31293312572143e-249,True,5.674135755478239e-23
53,A_good,0,False,0.36994289306312533,False,0.05949515638721438,False,0.2475560890413876,False,0.7259684594689246,False,0.07713340940226965
53,A_noQ,5,True,6.514602022233851e-29,True,7.016357013604434e-11,True,7.085980950389675e-07,True,1.9355692234281554e-288,True,3.707276058636579e-24
54,A_good,0,False,0.35151119823409127,False,0.012210478371127508,False,0.7939075452710888,False,0.32674796556512675,False,0.9702317402712913
54,A_noQ,5,True,1.485475287646663e-27,True,0.00022647803715874693,True,0.00027344529419911633,True,1.7817238430456957e-250,True,6.015633124101049e-23
55,A_good,0,False,0.6145340309570391,False,0.3433244921784042,False,0.11573848802523827,False,0.7746191449188794,False,0.8299084349905375
55,A_noQ,5,True,1.0861039271371933e-21,True,5.751995605601397e-09,True,1.3014763061177147e-07,True,4.5421050900370595e-292,True,7.416483508182629e-19
56,A_good,0,False,0.4101321387885164,False,0.6296500014320701,False,0.731834635070486,False,0.07447550549060074,False,0.7236265283297442
56,A_noQ,5,True,8.233173181332658e-22,True,5.044874401115802e-08,True,2.97153841950128e-05,True,7.97216329918184e-303,True,2.029087310388558e-18
57,A_good,0,False,0.9333484008940713,False,0.5009499462785567,False,0.5843740581666004,False,0.19144078545048138,False,0.2081282166786601
