draw,S,mae_or_nonnull,beta_NH-Black,se_NH-Black,OR_NH-Black,covered_NH-Black,flag_NH-Black,p_NH-Black,beta_NH-Asian,se_NH-Asian,OR_NH-Asian,covered_NH-Asian,flag_NH-Asian,p_NH-Asian,beta_NH-AmInd-AKNat,se_NH-AmInd-AKNat,OR_NH-AmInd-AKNat,covered_NH-AmInd-AKNat,flag_NH-AmInd-AKNat,p_NH-AmInd-AKNat,beta_Hispanic,se_Hispanic,OR_Hispanic,covered_Hispanic,flag_Hispanic,p_Hispanic,beta_NH-Other-Multi,se_NH-Other-Multi,OR_NH-Other-Multi,covered_NH-Other-Multi,flag_NH-Other-Multi,p_NH-Other-Multi
0,3,0.01335125515489873,-0.5224150396540219,0.05958663319553282,0.5930864896226054,True,True,9.998770366009004e-18,-0.18451650277557957,0.03250029619979653,0.831506217625674,True,True,2.308093662672852e-09,-0.0787643998416931,0.17949701453647213,0.9242576540451249,True,False,0.6816208946408374,-0.2814980973559881,0.02952618120619177,0.7546523515086938,True,True,4.8576828399874937e-20,-0.05403240697023395,0.06716508508995311,0.947401403595221,True,False,0.4422624172943139
1,3,0.018548219662207172,-0.5652432753394845,0.05958663319553282,0.5682218955671231,True,True,7.339370601132748e-16,-0.19007779326605656,0.03250029619979653,0.8268948045936652,True,True,5.4297173900576924e-09,-0.148996038736261,0.17949701453647213,0.8615725278082115,True,False,0.37207073311910643,-0.2876953205300087,0.02952618120619177,0.7499900640071457,True,True,7.601045151358542e-23,0.142750372659813,0.06716508508995311,1.1534418351079845,False,False,0.04327334943866691
2,3,0.010263724668394389,-0.49168897047039034,0.05958663319553282,0.6115925595990613,True,True,3.327274622157058e-18,-0.22039455961525267,0.03250029619979653,0.8022022189130823,True,True,1.4144918416549162e-11,0.19421558998087127,0.17949701453647213,1.214358058167694,True,False,0.31233780623135443,-0.31249746891837243,0.02952618120619177,0.7316174807278621,True,True,1.1975584409523416e-26,0.04627900047314124,0.06716508508995311,1.0473665859695964,True,False,0.5178435031677852
3,3,0.02607083125253362,-0.490964010885979,0.05958663319553282,0.6120361002419916,True,True,2.2446714675155954e-16,-0.2467333283727669,0.03250029619979653,0.7813490293686122,True,True,3.8988212414370114e-15,0.045825694490899585,0.17949701453647213,1.0468919160240675,True,False,0.7513762794254568,-0.3488585840506728,0.02952618120619177,0.7054928911628449,True,True,1.7472087107285003e-30,-0.0010900726469080771,0.06716508508995311,0.9989105212664572,True,False,0.9870019862021888
4,3,0.016431423013828123,-0.44214000765953154,0.05958663319553282,0.642659651882748,True,True,1.1739289319186623e-15,-0.2147680921170662,0.03250029619979653,0.8067285051853034,True,True,1.2033581975888778e-11,-0.13740407027218146,0.17949701453647213,0.8716179600604188,True,False,0.40288141478432815,-0.30157115853376454,0.02952618120619177,0.7396551917030265,True,True,6.392396573169132e-26,0.0589284852657174,0.06716508508995311,1.060699382393211,True,False,0.365213452545721
5,4,0.029507868756964095,-0.5701686214997137,0.05958663319553282,0.5654300869913372,True,True,7.296491636855397e-20,-0.24653824393671303,0.03250029619979653,0.7815014732726009,True,True,8.758842292134162e-13,0.19144832156657426,0.17949701453647213,1.2110022488237828,True,False,0.27746775917969557,-0.3138556763540136,0.02952618120619177,0.7306244669375027,True,True,4.9542392437376694e-26,-0.18271178934764865,0.06716508508995311,0.8330082029809381,False,True,0.012506661864056424
6,3,0.0368639958456309,-0.4289778951461659,0.05958663319553282,0.6511743231351772,True,True,3.40373239593365e-11,-0.17067270868969325,0.03250029619979653,0.8430974667950372,True,True,6.671018907892241e-09,-0.0028807849374318864,0.17949701453647213,0.9971233605417958,True,False,0.9864440545347658,-0.24538937616261172,0.02952618120619177,0.7823998310790115,True,True,4.697030905713645e-17,-0.026132965850176184,0.06716508508995311,0.9742055449279032,True,False,0.6955476152156423
7,3,0.01948867310274797,-0.5025482363460154,0.05958663319553282,0.6049870438249259,True,True,6.552913060389151e-18,-0.2619186433308401,0.03250029619979653,0.7695736311080767,True,True,1.9329647985727184e-16,-0.07705284960326082,0.17949701453647213,0.9258409219880888,True,False,0.6116176177860887,-0.31053735701435076,0.02952618120619177,0.7330529392310866,True,True,2.9224455204388398e-27,-0.047865281877918234,0.06716508508995311,0.9532622001209803,True,False,0.48791554531069303
8,3,0.02275366101720226,-0.5082647298597548,0.05958663319553282,0.6015385054775767,True,True,3.2471447502633143e-21,-0.13790526676577408,0.03250029619979653,0.8711812176511087,True,True,1.4174429952508367e-05,0.042014710974939286,0.17949701453647213,1.0429098208581529,True,False,0.7937338299698617,-0.2855023365695365,0.02952618120619177,0.7516365849251411,True,True,4.896505929091217e-22,0.10544854264534348,0.06716508508995311,1.1112089231800069,True,False,0.12559562761335952
9,3,0.04408064381610092,-0.5947436178475449,0.05958663319553282,0.5517039947948322,True,True,1.4746139649494652e-28,-0.13931851957851082,0.03250029619979653,0.8699508879331035,True,True,1.0709911384300226e-05,0.027481602315560818,0.17949701453647213,1.027862704639612,True,False,0.8729529963626458,-0.2652510692173886,0.02952618120619177,0.7670133523570978,True,True,3.4687700843145053e-19,0.04386029413061281,0.06716508508995311,1.0448363749174265,True,False,0.534653613989325
